ID,Name,ShortName,Type,Colour,Mouseover,ReductionYear1,ReductionYear2,ReductionYear3,ReductionYear4,ReductionYear5,ReductionYear6,ReductionYear7,ReductionYear8,ReductionYear9,ReductionYear10,ReductionYear11,ReductionYear12,ReductionYear13,ReductionYear14,ReductionYear15,,,,,,,,,,,,,,,,
1,EP-Advanced energy efficient equipment ,Equipment,field,#00cdcd,"High efficient and innovative technology including LED lighting, new heating and cooling systems and energy efficient home appliances.",0.00,1.71,3.42,5.12,6.83,8.54,10.25,11.95,13.66,15.37,17.08,17.08,17.08,17.08,17.08,,,,,,,,,,,,,,,,
2,EP-Advanced industrial energy efficiency,Industrial,field,#009a9a,Deploying the latest energy efficient technologies in new and existing industrial facilities to reduce the demand for energy and other resources. Data driven technologies such as advanced control and optimisation offer energy savings at low cost,0.00,2.11,4.21,6.32,8.42,10.53,12.64,14.74,16.85,18.95,21.06,21.06,21.06,21.06,21.06,,,,,,,,,,,,,,,,
3,EP-Smart buildings,Smart,field,#004d4d,"Intelligent systems and processes will use real time data to monitor, manage and control the consumption of resources. This will result in less consumption of energy and other resources (e.g. fresh water), and less waste. All will lower greenhouse gas emissions.",0.00,1.41,2.83,4.24,5.66,7.07,8.49,9.90,11.32,12.73,14.14,14.14,14.14,14.14,14.14,,,,,,,,,,,,,,,,
4,EP-Low carbon transport,,field,#b2d5d8,A range of actions can be undertaken to improve the energy performance of Australia's vehicle fleet. A good start is the implementation of minimum fleet fuel efficiency standards which have worked effectively elsewhere in the world. The introduction of biofuels will further reduce the emissions associated with transport. Improvements in the utilisation of heavy vehicles and also commercial aircraft through advanced management systems also offer improvements in emissions performance., ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.1,Heavy vehicle,Heavy,dropdown,#b2d5d8,A range of actions can be undertaken to improve the energy performance of Australia's vehicle fleet. A good start is the implementation of minimum fleet fuel efficiency standards which have worked effectively elsewhere in the world. The introduction of biofuels will further reduce the emissions associated with transport. Improvements in the utilisation of heavy vehicles and also commercial aircraft through advanced management systems also offer improvements in emissions performance.,0.00,3.94,7.88,11.81,15.75,19.69,23.63,27.57,31.50,35.44,39.38,39.38,39.38,39.38,39.38,,,,,,,,,,,,,,,,
4.2,Light vehicle,Light,dropdown,#b2d5d8,A range of actions can be undertaken to improve the energy performance of Australia's vehicle fleet. A good start is the implementation of minimum fleet fuel efficiency standards which have worked effectively elsewhere in the world. The introduction of biofuels will further reduce the emissions associated with transport. Improvements in the utilisation of heavy vehicles and also commercial aircraft through advanced management systems also offer improvements in emissions performance.,0.00,3.28,6.56,9.84,13.13,16.41,19.69,22.97,26.25,29.53,32.82,32.82,32.82,32.82,32.82,,,,,,,,,,,,,,,,
4.3,Aviation,Aviation,dropdown,#b2d5d8,A range of actions can be undertaken to improve the energy performance of Australia's vehicle fleet. A good start is the implementation of minimum fleet fuel efficiency standards which have worked effectively elsewhere in the world. The introduction of biofuels will further reduce the emissions associated with transport. Improvements in the utilisation of heavy vehicles and also commercial aircraft through advanced management systems also offer improvements in emissions performance.,0.00,6.56,13.13,19.69,26.25,32.82,39.38,45.94,52.50,59.07,65.63,65.63,65.63,65.63,65.63,,,,,,,,,,,,,,,,
5,EP-Electric vehicles,,field,#007580,"Electric vehicles are a disruptive technology and rapidly approaching the point where they are cheaper to buy and to operate compared to an internal combustion engine (ICE) vehicles. Once they reach that point, EVs are expected to rapidly displace ICE vehicles. The BAU model considers a conservative uptake of EVs. The 'rapid deployment' option assumes that over a five year period, the market share of EVs rises from 0% to 75% and then remains constant at 75%.", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.1,BAU,BAU,dropdown,#007580,"Electric vehicles are a disruptive technology and rapidly approaching the point where they are cheaper to buy and to operate compared to an internal combustion engine (ICE) vehicles. Once they reach that point, EVs are expected to rapidly displace ICE vehicles. The BAU model considers a conservative uptake of EVs. The 'rapid deployment' option assumes that over a five year period, the market share of EVs rises from 0% to 75% and then remains constant at 75%.",0.00,0.04,0.08,0.13,0.17,0.21,0.25,0.29,0.33,0.38,0.42,0.42,0.42,0.42,0.42,,,,,,,,,,,,,,,,
5.2,Rapid deployment,Deployment,dropdown,#007580,"Electric vehicles are a disruptive technology and rapidly approaching the point where they are cheaper to buy and to operate compared to an internal combustion engine (ICE) vehicles. Once they reach that point, EVs are expected to rapidly displace ICE vehicles. The BAU model considers a conservative uptake of EVs. The 'rapid deployment' option assumes that over a five year period, the market share of EVs rises from 0% to 75% and then remains constant at 75%.",0.00,0.32,0.96,1.92,3.21,4.81,6.41,8.02,9.62,11.22,12.83,12.83,12.83,12.83,12.83,,,,,,,,,,,,,,,,
6,EP-Solar PV,Solar,field,#66B9BF,"Solar PV is already cost effective for many consumers given current prices for solar panels and for electricity. So solar PV will continue to expand with or without incentives. The option assumes that the economics for solar PV become even more attractive, whether as a result of further reduction in the cost or as a result of positive government incentives.",0.00,0.93,1.86,2.79,3.72,4.65,5.58,6.51,7.44,8.37,9.30,9.30,9.30,9.30,9.30,,,,,,,,,,,,,,,,
7,EP-Green cities,,field,#07889B,"Building efficient cities. This includes constructing efficient homes and work places designed for passive heating and cooling, use better building products generate renewable energy and incorporate energy storage.  The measure also includes better ways to construct buildings through the use of pre-fabricated materials. The measure also looks at the integration of homes, workplaces and transport to reduce the load on our transport systems. This is achieved through an integrated approach to new developments and infrastructure that results in more efficient precincts.", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
